centroid,counts,dispersion
0.646932,0.123254,2006,3.399782
0.492387,0.685780,1050,5.924673
0.822879,0.180578,1119,5.087010
0.575762,0.438610,1130,2.859704
0.289025,0.759778,604,6.232652
0.490529,0.075914,3855,1.633666
0.505751,0.179123,1126,3.548745
0.212427,0.276159,189,1.588383
0.254951,0.546955,348,2.154350
0.667920,0.665503,737,1.606958
0.379438,0.056429,615,1.649663
0.528521,0.304922,430,0.736258
0.374155,0.412557,570,3.303902
0.629800,0.017576,841,1.299596
0.683110,0.288381,2645,5.004234
0.178337,0.089043,696,1.184047
0.804674,0.400000,503,4.201779
0.835187,0.842722,133,1.672887
