centroid,counts,dispersion
0.492171,0.685615,1052,5.965484
0.646932,0.123254,2006,3.399782
0.379620,0.057138,619,1.700579
0.490862,0.079139,4069,3.051236
0.564761,0.430961,1243,4.303104
0.682112,0.288052,2669,5.207323
0.797629,0.400907,535,4.628814
0.188518,0.107172,806,3.648618
0.511373,0.217479,1229,5.685396
0.281188,0.744350,683,8.159388
0.835187,0.842722,133,1.672887
0.667920,0.665503,737,1.606958
0.314584,0.442419,856,10.706575
0.629800,0.017576,841,1.299596
0.822879,0.180578,1119,5.087010
