centroid,counts,dispersion
34.331577,579,324.611467
8.484501,985,31.629003
20.429113,991,96.242644
22.538040,692,124.591095
12.761554,1334,169.019612
31.867681,471,66.776377
11.023945,1243,186.941911
37.227773,198,102.292911
15.653881,2183,246.293430
7.369463,1506,90.207575
9.446878,818,56.060469
41.758251,49,86.576056
17.279645,658,129.990506
19.003525,687,38.223008
4.271526,1294,354.938314
30.538040,606,63.337125
24.630724,306,58.927652
28.773999,990,341.190916
6.408948,2750,42.920923
13.901189,2280,48.960864
