centroid,counts,dispersion
0.674455,0.226129,882,1.288827
0.245536,0.549697,301,1.582069
0.822879,0.180578,1119,5.087010
0.379438,0.056429,615,1.649663
0.178337,0.089043,696,1.184047
0.807232,0.399693,491,4.065191
0.684014,0.310997,2027,1.921998
0.490529,0.075914,3855,1.633666
0.645230,0.116103,1825,2.306785
0.212427,0.276159,189,1.588383
0.290698,0.756469,621,6.535875
0.571145,0.441281,1067,2.233848
0.525197,0.306909,432,0.771225
0.492387,0.685780,1050,5.924673
0.667920,0.665503,737,1.606958
0.835187,0.842722,133,1.672887
0.505751,0.179123,1126,3.548745
0.369104,0.416495,590,3.476603
0.629800,0.017576,841,1.299596
