centroid,counts,dispersion
0.514514,0.755022,440,0.826225
0.645230,0.116103,1825,2.306785
0.183318,0.095140,739,1.939911
0.674455,0.226129,882,1.288827
0.571145,0.441281,1067,2.233848
0.835187,0.842722,133,1.672887
0.490529,0.075914,3855,1.633666
0.397845,0.445674,363,0.981692
0.669486,0.660798,712,1.090783
0.684014,0.310997,2027,1.921998
0.807232,0.399693,491,4.065191
0.270243,0.331852,339,3.181508
0.629800,0.017576,841,1.299596
0.249279,0.541887,329,1.801374
0.290698,0.756469,621,6.535875
0.379438,0.056429,615,1.649663
0.524223,0.307063,436,0.817008
0.481886,0.642143,637,2.283288
0.505751,0.179123,1126,3.548745
0.822879,0.180578,1119,5.087010
